order,damping,morphology_abs,frequencies,relative_error,draws,certifiable,primary_pass_0p02,exploratory_pass_0p05,chain_coverage,disk_true_feasible,max_u_w,max_u_r,max_u_alpha,p95_u_alpha,median_chain_width,median_disk_width_subset
0.5,0.3,1.0198039,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9971504909804262,0.7981484927994617,0.6491809643722999,0.5398102806097076,0.016016348063931152,0.015068507928196945
0.5,0.3,1.0198039,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.998973662429336,0.7655198215364568,0.7331745415344308,0.6037648181800165,0.16077736310735427,0.1647262877525953
0.5,0.3,1.0198039,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9985139481493117,0.7454305666246468,0.5814412754812845,0.4358378093624891,0.5020200150117489,0.42762385506106027
0.5,0.3,1.0198039,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9977033945233948,0.7921269438110662,0.4470457384291985,0.32762648261923816,0.6,0.6
0.5,0.3,1.25299641,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9996617491934647,0.8322325314453937,0.7609126411799784,0.5880310621643796,0.014048368013709372,0.01345557951649401
0.5,0.3,1.25299641,0.7-1.0-1.4,0.001,128,128,0,0,1.0,1.0,0.9992761599943435,0.8547525590327439,0.7701104979030087,0.5983361167411391,0.141607610261872,0.13730941961599746
0.5,0.3,1.25299641,0.7-1.0-1.4,0.005,128,128,0,0,1.0,1.0,0.9971907674801143,0.7844990848008593,0.6123458864193729,0.3314979720568745,0.4538828120420475,0.42165987206572514
0.5,0.3,1.25299641,0.7-1.0-1.4,0.01,128,128,0,0,1.0,1.0,0.9987230772247181,0.7670917785046966,0.4908083818584286,0.34684911040406946,0.6,0.6
0.5,0.3,1.25299641,0.7-1.4-2.6,0.0001,128,128,128,128,1.0,1.0,0.9995386140455954,0.8175274190289489,0.6593966520437194,0.5765722575671496,0.003501056526510865,0.0032367328630874825
0.5,0.3,1.25299641,0.7-1.4-2.6,0.001,128,128,128,128,1.0,1.0,0.9999407852590482,0.8076936542327843,0.7238759834899214,0.5285302557535413,0.03539486322176813,0.03534662111290812
0.5,0.3,1.25299641,0.7-1.4-2.6,0.005,128,128,0,0,1.0,1.0,0.9949469034846317,0.829316235107553,0.7580151667417782,0.5621197794764169,0.1758810793411158,0.17078079365779278
0.5,0.3,1.25299641,0.7-1.4-2.6,0.01,128,128,0,0,1.0,1.0,0.9969086044749622,0.8030221057242406,0.6038785963854068,0.5149527134505675,0.275394522435522,0.25991695759958466
0.5,0.3,1.25299641,0.7-1.9-2.6,0.0001,128,128,128,128,1.0,1.0,0.9993530229838807,0.8123181394504054,0.7225443800046456,0.5292527201658949,0.0055706108320011105,0.005566435360962296
0.5,0.3,1.25299641,0.7-1.9-2.6,0.001,128,128,0,128,1.0,1.0,0.999011189165274,0.9206063336381857,0.757471117020628,0.5991306987681009,0.055866816017714954,0.05441587165595105
0.5,0.3,1.25299641,0.7-1.9-2.6,0.005,128,128,0,0,1.0,1.0,0.9979318609549236,0.8608739955136953,0.6836359273919866,0.6167260670936311,0.22854632818198284,0.2337941362759268
0.5,0.3,1.25299641,0.7-1.9-2.6,0.01,128,128,0,0,1.0,1.0,0.9923234329369998,0.7665193458853612,0.5869803580960811,0.45288982704238767,0.36808413914968685,0.3437381287100901
0.5,0.3,1.25299641,1.0-1.4-1.9,0.0001,128,128,128,128,1.0,1.0,0.9996185358110402,0.8756629512013738,0.8277577339879807,0.5824291492142973,0.01604078678856241,0.015954476305974935
0.5,0.3,1.25299641,1.0-1.4-1.9,0.001,128,128,0,0,1.0,1.0,0.9990846985226548,0.8460174271690996,0.6845140525410146,0.568039673544974,0.1607875901017905,0.1479896170968876
0.5,0.3,1.25299641,1.0-1.4-1.9,0.005,128,128,0,0,1.0,1.0,0.9979719795083015,0.8616611464508499,0.6032072728881005,0.37854651168401937,0.48611930133229186,0.5470003605605177
0.5,0.3,1.25299641,1.0-1.4-1.9,0.01,128,128,0,0,1.0,1.0,0.9949863667529351,0.8082421822532797,0.4536006510851099,0.36862134755408166,0.6,0.6
0.5,0.8,1.0198039,0.7-1.0-1.4,0.0001,128,128,128,128,1.0,1.0,0.9987769542153568,0.8542894533129229,0.7522250805013282,0.5154373335387249,0.019828940419120006,0.019804851977570953
