order,damping,harmonic,triple,nu1,nu2,nu3,common_factor_abs,common_factor_phase,order_error,damping_error,morphology_error,invariant_imag_abs,pass
0.97,0.8,2,0-3-4,1.4,3.8,5.2,3.2,0.63,1.4721557306529576e-13,2.4491519923230953e-13,1.2157735168161953e-12,1.381224747593558e-16,1
0.97,0.8,2,1-2-3,2.0,2.8,3.8,1.0,0.0,1.4721557306529576e-13,2.410294186461215e-13,3.742213187767837e-13,9.790976101111437e-16,1
0.97,0.8,2,1-2-3,2.0,2.8,3.8,3.2,0.63,1.4721557306529576e-13,2.4014124022642136e-13,1.1987769539859727e-12,2.0690029713378835e-16,1
0.97,0.8,2,1-2-4,2.0,2.8,5.2,1.0,0.0,3.352873534367973e-14,5.540012892879531e-14,8.533824444866822e-14,1.1189686972698786e-15,1
0.97,0.8,2,1-2-4,2.0,2.8,5.2,3.2,0.63,3.352873534367973e-14,5.440092820663267e-14,2.7439008760199677e-13,8.276011885351534e-16,1
0.97,0.8,2,1-3-4,2.0,3.8,5.2,1.0,0.0,1.4721557306529576e-13,2.6345592374354965e-13,3.9568521874914775e-13,2.499836656953563e-16,1
0.97,0.8,2,1-3-4,2.0,3.8,5.2,3.2,0.63,1.4721557306529576e-13,2.637889906509372e-13,1.2664842085157368e-12,1.8489058661660972e-16,1
0.97,0.8,2,2-3-4,2.8,3.8,5.2,1.0,0.0,1.4721557306529576e-13,2.829958489769524e-13,4.136097435230486e-13,1.1297386086724971e-15,1
0.97,0.8,2,2-3-4,2.8,3.8,5.2,3.2,0.63,1.4721557306529576e-13,2.851052727237402e-13,1.323196814519986e-12,1.6711334598592586e-16,1
0.97,0.8,1,0-1-2,0.7,1.0,1.4,1.0,0.0,1.4721557306529576e-13,1.0602629885170245e-13,3.3106880378964027e-13,1.422296962866599e-15,1
0.97,0.8,1,0-1-2,0.7,1.0,1.4,3.2,0.63,1.4721557306529576e-13,1.0580425424677742e-13,1.060643651115557e-12,2.8104854483912457e-15,1
0.97,0.8,1,0-1-3,0.7,1.0,1.9,1.0,0.0,3.352873534367973e-14,2.3092638912203256e-14,7.572534930698364e-14,1.8286675236856274e-15,1
0.97,0.8,1,0-1-3,0.7,1.0,1.9,3.2,0.63,3.352873534367973e-14,2.2315482794965646e-14,2.432020003035769e-13,4.567038853635774e-15,1
0.97,0.8,1,0-1-4,0.7,1.0,2.6,1.0,0.0,2.3314683517128287e-14,1.8762769116165146e-14,5.198879375897744e-14,4.063705608190283e-15,1
