order,damping,morphology_abs,frequencies,relative_error,draw,u_w,u_r,u_alpha,alpha_error,alpha_bound,chain_contains,disk_residual
0.5,0.8,1.252996408614167,1.0-1.4-1.9,0.005,67,0.9336297449556795,0.6854647837610538,0.6074246385205598,0.4363170587119387,0.7183064878214854,1,-0.00528988794997132
0.5,0.8,1.252996408614167,1.0-1.4-1.9,0.01,117,0.9154940719145802,0.36913747139259195,0.326311977726164,0.5,1.5322759632795102,1,-0.028369941534410272
0.5,1.5,1.019803902718557,0.7-1.0-1.4,0.0001,104,0.8979159741597132,0.8234619263448624,0.7579599238909338,0.011467589135463863,0.015129545473322393,1,-0.00015601636295963233
0.5,1.5,1.019803902718557,0.7-1.0-1.4,0.001,112,0.9504330319446126,0.7426839419809503,0.6703371778395737,0.09999999999999998,0.14917865710848602,1,-0.0022755725540001973
0.5,1.5,1.019803902718557,0.7-1.0-1.4,0.005,74,0.891200148736293,0.6313527295673593,0.4633984150906654,0.5,1.078985131837737,1,-0.008183766166947465
0.5,1.5,1.019803902718557,0.7-1.0-1.4,0.01,123,0.9603056187639244,0.3554654616604951,0.20645116370029834,0.45022376916822393,2.1807761268994645,1,-0.04311563956141147
0.5,1.5,1.019803902718557,0.7-1.4-2.6,0.0001,44,0.9737053520377826,0.8147977961365847,0.7356220248228468,0.0027186734618226405,0.0036957477754657416,1,-0.0001760177442369557
0.5,1.5,1.019803902718557,0.7-1.4-2.6,0.001,25,0.9409620602737513,0.7543645370604346,0.6800603954255366,0.02504086632484359,0.036821533048068004,1,-0.002310094461517187
0.5,1.5,1.019803902718557,0.7-1.4-2.6,0.005,26,0.9709219054199705,0.7537872835846722,0.6712424263339941,0.14502634389327795,0.21605658135368863,1,-0.007547128206211055
0.5,1.5,1.019803902718557,0.7-1.4-2.6,0.01,68,0.9133772002544973,0.6313287243670282,0.4677894574564722,0.23558877007444612,0.5036213756407019,1,-0.020577286798464586
0.5,1.5,1.019803902718557,0.7-1.9-2.6,0.0001,63,0.9905086011048839,0.8568065330819764,0.8140924731977051,0.004200215280252384,0.0051593835080604505,1,-9.968580213474303e-05
0.5,1.5,1.019803902718557,0.7-1.9-2.6,0.001,30,0.981909343500932,0.7858671918121164,0.746630436631592,0.03837701555276002,0.05140028275018782,1,-0.0014780799666186143
0.5,1.5,1.019803902718557,0.7-1.9-2.6,0.005,15,0.9737418006392675,0.8544525778657458,0.7540970052619173,0.2180521732232591,0.2891566624741123,1,-0.0025983714756689646
0.5,1.5,1.019803902718557,0.7-1.9-2.6,0.01,6,0.9365712029701356,0.6266928479940341,0.5440266059686462,0.3277828749252878,0.6025125817912275,1,-0.01934065552685567
0.5,1.5,1.019803902718557,1.0-1.4-1.9,0.0001,1,0.9534501271332901,0.8536671281851935,0.8005332543100067,0.012668773720361015,0.015825418434716305,1,-0.0001372679309446001
0.5,1.5,1.019803902718557,1.0-1.4-1.9,0.001,102,0.9543155255464565,0.811702575064531,0.6359963938151624,0.09999999999999998,0.15723359593303396,1,-0.001706632313502046
0.5,1.5,1.019803902718557,1.0-1.4-1.9,0.005,43,0.9591303042609561,0.5852279378772385,0.4610656795826014,0.5,1.0844441955702395,1,-0.012396698133327833
0.5,1.5,1.019803902718557,1.0-1.4-1.9,0.01,3,0.7887879999630418,0.266508962350618,0.19780766958526227,0.5,2.5277078540399156,1,-0.056319771217748275
0.5,1.5,1.252996408614167,0.7-1.0-1.4,0.0001,50,0.9158783733566718,0.7866032390052826,0.7608892880715106,0.01142439419218133,0.015014528882561471,1,-0.00015648060018453745
0.5,1.5,1.252996408614167,0.7-1.0-1.4,0.001,83,0.9823088055157106,0.6972143339394394,0.6340311392861634,0.10127235875679619,0.1597277365127771,1,-0.001994838758129981
0.5,1.5,1.252996408614167,0.7-1.0-1.4,0.005,107,0.9936679607057036,0.5856610045756341,0.4622043990609451,0.48030552201453225,1.039162593411839,1,-0.00942257199176099
0.5,1.5,1.252996408614167,0.7-1.0-1.4,0.01,28,0.874353543144036,0.3294903282973216,0.20635289688134312,0.5,2.4230335873962052,1,-0.03662772763825676
0.5,1.5,1.252996408614167,0.7-1.4-2.6,0.0001,67,0.9820777301604791,0.7847915888372335,0.7238792086236524,0.00268321734984045,0.0037067197370431247,1,-0.00016545980253988802
0.5,1.5,1.252996408614167,0.7-1.4-2.6,0.001,9,0.9620654744499268,0.8122563092306226,0.7676975113006986,0.02823945594927857,0.03678461312377172,1,-0.0014358457150910817
0.5,1.5,1.252996408614167,0.7-1.4-2.6,0.005,12,0.9868541821612326,0.6682311202223815,0.5995496578982078,0.1263963593285553,0.21081883320833286,1,-0.010025748447008955
